阶段A,阶段B,阶段C,B线润叶加水流量,B线润叶回风温度蒸汽阀开度,B线润叶注入蒸汽流量,B线润叶前温度仪实际值,B线润叶回风温度,,B线加料入口蒸汽阀门开度,叶片B线TBL注入蒸汽流量实际值,B线加料加水瞬时流量,叶片B加料机出口温度[℃],,燃烧炉出口工艺气温度实际值,风选出口水分仪水分实际值
2021-12-01 08:40:00.000,2021-12-01 10:47:00.000,2021-12-01 09:43:00.000,0.304865777,0,258.1111145,20.54398155,62.83536148,,0,0.611690164,25.73529434,32.83564758,,158.7939301,13.0011816
2021-12-01 08:41:00.000,2021-12-01 10:49:00.000,2021-12-01 09:46:00.000,0.308827728,0,258.0066833,20.48611069,64.08728027,,0,0.611690164,25.79942703,33.01504517,,159.1665039,12.83098412
2021-12-01 08:42:00.000,2021-12-01 10:52:00.000,2021-12-01 09:49:00.000,0.303512901,0,258.9869385,20.83333206,65.63889313,,0,213.2566986,25.86200905,32.47106552,,158.6992645,12.90309238
2021-12-01 08:43:00.000,2021-12-01 10:54:00.000,2021-12-01 09:53:00.000,0.300597876,0,3.336750507,20.86226845,67.16249084,,0,22.48940849,25.72077751,30.48611069,,164.6038208,2.131682873
2021-12-01 08:44:00.000,2021-12-01 10:57:00.000,2021-12-01 09:56:00.000,0.336384803,0,0.612722039,21.03587914,67.73041534,,0,0.611690164,25.51165581,27.54051018,,159.1399384,-0.971027553
2021-12-01 08:45:00.000,2021-12-01 10:59:00.000,2021-12-01 09:59:00.000,0.319546461,0,0.611690164,21.18055534,67.46427155,,0,260.0412598,25.72642899,26.16897964,,154.8943024,-1.053581834
2021-12-01 08:46:00.000,2021-12-01 11:02:00.000,2021-12-01 10:03:00.000,0.346840471,0,0.611690164,21.26736069,67.28172302,,0,238.6906128,25.70931625,24.5428257,,157.9892731,-0.73636961
2021-12-01 08:47:00.000,2021-12-01 11:04:00.000,2021-12-01 10:06:00.000,0.321974158,0,0.611854076,21.20948982,66.65789032,,0,213.7489471,25.5241394,24.07986069,,162.6172333,-0.763603687
2021-12-01 08:48:00.000,2021-12-01 11:07:00.000,2021-12-01 10:09:00.000,0.321145773,0,0.611690164,21.12268448,65.99938965,,0,270.6740112,25.64606285,24.27662086,,165.4985504,12.19952393
2021-12-01 08:49:00.000,2021-12-01 11:09:00.000,2021-12-01 10:13:00.000,0.319328308,0,0.611690164,21.20948982,65.34653473,,0,270.5782471,25.56836891,24.71643448,,165.3855133,12.45123386
2021-12-01 08:50:00.000,2021-12-01 11:12:00.000,2021-12-01 10:16:00.000,0.329497814,0,0.611690164,21.12268448,64.69911957,,25,271.954834,19.3817234,25.55555534,,166.4444275,12.30874062
2021-12-01 08:51:00.000,2021-12-01 11:14:00.000,2021-12-01 10:20:00.000,0.316829354,0,0.611690164,21.15162086,64.1285553,,25,270.7764893,0,33.84259033,,166.1005402,12.35092545
2021-12-01 08:52:00.000,2021-12-01 11:17:00.000,2021-12-01 10:23:00.000,0.331307411,0,0.611690164,21.12268448,63.59038162,,25,272.5492554,11.704566,39.80324173,,166.3737488,12.22902584
2021-12-01 08:53:00.000,2021-12-01 11:20:00.000,2021-12-01 10:26:00.000,0.319476813,0,0.611690164,20.45717621,61.55704498,,25,274.4429626,13.482584,42.59259033,,167.0148315,12.22386265
2021-12-01 08:54:00.000,2021-12-01 11:22:00.000,2021-12-01 10:30:00.000,0.306370944,0,0.611690164,20.83333206,59.75160599,,25,269.5108948,11.90192032,43.14236069,,166.3906708,12.12776566
2021-12-01 08:55:00.000,2021-12-01 11:25:00.000,2021-12-01 10:33:00.000,0.32427749,0,0.611690164,20.83333206,58.54742432,,25,269.9338989,17.70716858,43.84259033,,166.4030914,12.16882324
2021-12-01 08:56:00.000,2021-12-01 11:27:00.000,2021-12-01 10:36:00.000,0.334841102,0,0.611690164,20.83333206,57.53932571,,25,273.4367981,7.979240417,44.32870483,,166.5276489,12.10892391
2021-12-01 08:57:00.000,2021-12-01 11:30:00.000,2021-12-01 10:40:00.000,0.334114224,0,0.611690164,20.86226845,56.66270065,,25,269.9171753,8.453404427,43.68055344,,166.2612762,12.06093979
2021-12-01 08:58:00.000,2021-12-01 11:32:00.000,2021-12-01 10:43:00.000,131.0251923,0,239.695755,20.83333206,55.85006714,,25,272.4890137,18.14562035,44.17245483,,166.4998627,12.08793163
2021-12-01 08:59:00.000,2021-12-01 11:35:00.000,2021-12-01 10:46:00.000,250.1109314,0,260.5105591,20.83333206,55.04494858,,25,272.6437378,17.96273041,44.01041412,,166.2982941,11.9478426
2021-12-01 09:00:00.000,2021-12-01 11:37:00.000,2021-12-01 10:50:00.000,251.3905792,0,273.4818115,20.60185242,54.52521133,,25,270.0026245,15.03902626,43.84838104,,165.8869324,12.20069122
2021-12-01 09:01:00.000,2021-12-01 11:40:00.000,2021-12-01 10:53:00.000,253.0095062,0,271.2597961,20.83333206,54.43877029,,25,272.1755371,11.91999912,44.09143448,,166.1404266,12.05920124
2021-12-01 09:02:00.000,2021-12-01 11:42:00.000,2021-12-01 10:57:00.000,253.3594208,0,270.8829956,20.45717621,54.71606064,,25,271.5563354,15.15793991,44.00463104,,165.7930145,12.09089088
2021-12-01 09:03:00.000,2021-12-01 11:45:00.000,2021-12-01 11:00:00.000,252.6811523,0,273.4830933,20.57291794,55.0042305,,25,272.8141785,18.05643082,43.92361069,,166.1100464,12.2014904
2021-12-01 09:04:00.000,2021-12-01 11:47:00.000,2021-12-01 11:03:00.000,252.8083954,0,264.8535461,20.16782379,55.21426392,,25,271.6660767,21.0683403,44.56018448,,165.7989044,12.29074192
2021-12-01 09:05:00.000,2021-12-01 11:50:00.000,2021-12-01 11:07:00.000,253.7169189,0,262.4227905,20.08101845,55.39103699,,25,270.6951904,18.02723122,43.96990967,,165.7484894,12.07969666
2021-12-01 09:06:00.000,2021-12-01 11:53:00.000,2021-12-01 11:10:00.000,252.7433472,0,261.2658997,20.16782379,55.50281906,,25,272.0289307,19.59836769,44.65277863,,165.9474945,12.2579031
2021-12-01 09:07:00.000,2021-12-01 11:55:00.000,2021-12-01 11:13:00.000,254.2273712,0,260.3892822,20.22569466,55.4716568,,25,271.8754272,9.051166534,43.97569656,,165.1634369,12.14410305
2021-12-01 09:08:00.000,2021-12-01 11:58:00.000,2021-12-01 11:17:00.000,252.3963013,0,261.2485657,20.54398155,55.44008255,,25,273.7644348,19.49784279,44.65856552,,165.772644,12.10173798
2021-12-01 09:09:00.000,2021-12-01 12:00:00.000,2021-12-01 11:20:00.000,252.5440063,32,259.9041748,20.39930534,55.34704208,,25,273.3648376,29.95142365,44.78009033,,165.3256378,12.08584976
2021-12-01 09:10:00.000,2021-12-01 12:03:00.000,2021-12-01 11:23:00.000,253.4954071,32,263.1851807,20.16782379,55.31981277,,25,270.4545898,16.67964363,44.31713104,,165.5480347,12.1500845
2021-12-01 09:11:00.000,2021-12-01 12:05:00.000,2021-12-01 11:27:00.000,252.5580292,32,261.0074768,20.02314758,55.16798019,,25,272.0362549,16.37055016,44.3518486,,165.1894073,12.12200928
2021-12-01 09:12:00.000,2021-12-01 12:08:00.000,2021-12-01 11:30:00.000,252.493103,32,261.4510498,20.02314758,55.01467514,,25,272.2184143,27.00566101,43.85416412,,165.0972595,12.20356846
2021-12-01 09:13:00.000,2021-12-01 12:10:00.000,2021-12-01 11:34:00.000,253.0418243,31.98243523,264.8889465,20.10995293,54.85653305,,25,273.6125488,25.5736866,43.97569656,,165.5475922,12.11938572
2021-12-01 09:14:00.000,2021-12-01 12:13:00.000,2021-12-01 11:37:00.000,253.8778534,32,271.1046753,20.57291794,54.80194855,,25,272.6364441,21.05643463,44.28240967,,165.3920441,12.18218899
2021-12-01 09:15:00.000,2021-12-01 12:15:00.000,2021-12-01 11:40:00.000,252.3347931,31.94103813,271.5083923,20.57291794,54.85838699,,25,271.2851563,26.88461494,43.97569656,,165.3275909,12.12609196
2021-12-01 09:16:00.000,2021-12-01 12:18:00.000,2021-12-01 11:44:00.000,252.6639252,32,275.3832397,20.74652672,54.9584198,,25,270.7742004,27.05340767,44.5544014,,165.2505646,12.24432945
2021-12-01 09:17:00.000,2021-12-01 12:21:00.000,2021-12-01 11:47:00.000,253.6241455,31.95778656,273.0509949,20.71759224,55.00422668,,25,272.1896362,27.02321053,44.48495483,,165.1005402,12.15870476
2021-12-01 09:18:00.000,2021-12-01 12:23:00.000,2021-12-01 11:50:00.000,253.4617462,32,272.8794556,20.6307869,54.99836349,,25,269.7024841,30.70485306,44.46759033,,171.7001495,1.157885432
2021-12-01 09:19:00.000,2021-12-01 12:26:00.000,2021-12-01 11:54:00.000,254.0015564,32,273.8850708,20.48611069,54.9128685,,25,271.2003479,27.06001472,44.09143448,,163.8012848,-0.739712238
2021-12-01 09:20:00.000,2021-12-01 12:28:00.000,2021-12-01 11:57:00.000,253.588501,32,276.8739014,20.97801018,54.81008148,,25,189.0020447,25.80776787,44.87847137,,159.5352631,-0.725436985
