阶段A,阶段B,阶段C,B线润叶加水流量,B线润叶回风温度蒸汽阀开度,B线润叶注入蒸汽流量,B线润叶前温度仪实际值,B线润叶回风温度,,B线加料入口蒸汽阀门开度,叶片B线TBL注入蒸汽流量实际值,B线加料加水瞬时流量,叶片B加料机出口温度[℃],,燃烧炉出口工艺气温度实际值,风选出口水分仪水分实际值
2021-10-04 07:14:00.000,2021-10-04 09:43:00.000,2021-10-04 13:41:00.000,0.231481522,0,38.66256332,28.58796501,28.09586906,,0,0.611690164,11.67271042,31.79977036,,159.8043976,-1.011698008
2021-10-04 07:17:00.000,2021-10-04 09:44:00.000,2021-10-04 13:44:00.000,0.239066646,0,0.762654901,28.50115585,28.17468071,,0,0.611690164,11.63309956,31.27314758,,158.9004974,-1.013020039
2021-10-04 07:20:00.000,2021-10-04 09:45:00.000,2021-10-04 13:48:00.000,0.278551072,0,338.6480408,28.24073982,28.8861866,,0,271.1619263,11.5719099,31.17477036,,159.9017029,-0.862289906
2021-10-04 07:23:00.000,2021-10-04 09:46:00.000,2021-10-04 13:52:00.000,0.328975558,0,160.1052704,28.29861069,32.70571899,,0,310.177063,11.65629005,31.31944466,,156.1992035,-0.799427688
2021-10-04 07:26:00.000,2021-10-04 09:47:00.000,2021-10-04 13:56:00.000,0.328174323,0,0.671844244,28.29861069,37.38423157,,0,224.2607727,11.43605995,30.1504631,,160.6972961,-0.818359017
2021-10-04 07:29:00.000,2021-10-04 09:48:00.000,2021-10-04 13:59:00.000,0.347222149,0,0.637698531,28.24073982,40.9435997,,0,224.7648621,11.42010975,29.8321743,,160.0995941,-0.83920598
2021-10-04 07:32:00.000,2021-10-04 09:49:00.000,2021-10-04 14:03:00.000,0.347222149,0,0.663766026,28.18287086,44.56162643,,0,224.644104,11.31250954,29.07986069,,157.5834045,-0.817694128
2021-10-04 07:35:00.000,2021-10-04 09:50:00.000,2021-10-04 14:07:00.000,0.347222149,0,0.615235806,28.00926018,47.61552811,,0,226.3227997,-31.01733017,28.4317131,,161.3356018,-0.882340729
2021-10-04 07:39:00.000,2021-10-04 09:51:00.000,2021-10-04 14:11:00.000,0.347222149,0,0.627090454,27.86458397,51.07553101,,0,226.0158081,96.46497345,27.89930534,,157.7384949,-0.853127897
2021-10-04 07:42:00.000,2021-10-04 09:52:00.000,2021-10-04 14:14:00.000,0.347222149,0,0.611690164,27.83564949,53.24890518,,0,225.2242889,93.3692627,27.9629631,,158.9230042,-0.853571296
2021-10-04 07:45:00.000,2021-10-04 09:53:00.000,2021-10-04 14:18:00.000,0.347222149,0,0.61262238,27.92245483,55.11572647,,0,224.816803,18.13327026,27.26852036,,160.9013062,-0.837958276
2021-10-04 07:48:00.000,2021-10-04 09:54:00.000,2021-10-04 14:22:00.000,0.347222149,0,0.611690164,27.92245483,56.08997345,,0,224.9321136,17.36202049,26.95022964,,157.1520996,-0.845224321
2021-10-04 07:51:00.000,2021-10-04 09:55:00.000,2021-10-04 14:26:00.000,309.4601135,0,298.5320435,28.06712914,55.87802505,,0,226.2384644,17.14275932,27.17013931,,159.0762939,-0.87019968
2021-10-04 07:54:00.000,2021-10-04 09:56:00.000,2021-10-04 14:29:00.000,329.9235229,0,226.0094299,28.00926018,54.14936829,,0,220.9827881,16.11520958,26.85185242,,161.3979034,-0.877988875
2021-10-04 07:57:00.000,2021-10-04 09:57:00.000,2021-10-04 14:33:00.000,329.8526306,0,227.6811066,28.03819466,54.21038818,,0,213.3501892,17.07092094,27.1875,,161.0867004,-0.8600263
2021-10-04 08:00:00.000,2021-10-04 09:58:00.000,2021-10-04 14:37:00.000,329.2642517,0,227.3715668,28.03819466,54.98625183,,0,211.4650421,17.1221199,27.52314758,,166.2068939,11.75224972
2021-10-04 08:04:00.000,2021-10-04 09:59:00.000,2021-10-04 14:41:00.000,330.0969543,0,225.2960663,28.03819466,55.4431076,,0,211.2587585,17.0648098,27.53472328,,163.6988983,12.12919044
2021-10-04 08:07:00.000,2021-10-04 10:00:00.000,2021-10-04 14:44:00.000,330.8763123,0,220.4911194,27.86458397,55.6112175,,0,210.3147278,17.01172066,27.06018448,,163.5897064,12.12026024
2021-10-04 08:10:00.000,2021-10-04 10:01:00.000,2021-10-04 14:48:00.000,329.8106689,0,210.6750946,28.03819466,55.68720627,,0,211.9530029,16.90456963,27.71990776,,163.828598,12.22572994
2021-10-04 08:13:00.000,2021-10-04 10:02:00.000,2021-10-04 14:52:00.000,330.1410217,0,208.9093781,28.06712914,55.35786819,,0,209.3984222,16.98638916,27.79513931,,163.4564056,12.15143013
2021-10-04 08:16:00.000,2021-10-04 10:03:00.000,2021-10-04 14:56:00.000,330.1091614,0,208.8234406,28.06712914,55.1555481,,0,212.0239868,16.86018944,27.13541794,,163.3009949,12.15532017
2021-10-04 08:19:00.000,2021-10-04 10:04:00.000,2021-10-04 14:59:00.000,328.8284607,0,211.07901,28.06712914,54.93901825,,0,210.4846191,16.86685944,28.03819466,,163.5258026,12.13720989
2021-10-04 08:22:00.000,2021-10-04 10:05:00.000,2021-10-04 15:03:00.000,330.2697144,0,225.4668427,28.00926018,54.65128708,,0,213.0112762,16.77305984,28.25810242,,163.212204,12.08088017
2021-10-04 08:25:00.000,2021-10-04 10:06:00.000,2021-10-04 15:07:00.000,330.7434387,0,224.0004578,28.00926018,54.64876175,,0,214.0461273,16.91682053,27.87037086,,163.5834045,12.14853001
2021-10-04 08:29:00.000,2021-10-04 10:07:00.000,2021-10-04 15:11:00.000,330.124054,0,224.5518188,28.06712914,54.74969864,,20,215.8711395,16.74727058,28.24652672,,163.1988983,12.2066803
2021-10-04 08:32:00.000,2021-10-04 10:08:00.000,2021-10-04 15:14:00.000,329.9559631,0,224.1226807,28.09606552,54.88389206,,20,223.036377,18.71064949,29.28240776,,163.1927948,12.22031021
2021-10-04 08:35:00.000,2021-10-04 10:09:00.000,2021-10-04 15:18:00.000,329.8705444,0,226.7095947,28.06712914,54.92540741,,20,227.3252106,15.98945045,32.82407379,,162.8717957,12.13446999
2021-10-04 08:38:00.000,2021-10-04 10:10:00.000,2021-10-04 15:22:00.000,329.6803589,0,225.223175,28.125,55.05617523,,20,226.3272858,6.675629139,37.40162277,,162.8560028,12.21761036
2021-10-04 08:41:00.000,2021-10-04 10:11:00.000,2021-10-04 15:26:00.000,328.8920288,0,217.1754761,28.03819466,55.17889404,,19.97285461,226.9933014,0,39.63541794,,162.6036072,12.21949959
2021-10-04 08:44:00.000,2021-10-04 10:12:00.000,2021-10-04 15:29:00.000,275.9196777,0,210.5085602,27.98032379,55.13468933,,20,226.8813782,0,41.12847137,,162.5160065,12.19701958
2021-10-04 08:47:00.000,2021-10-04 10:13:00.000,2021-10-04 15:33:00.000,275.0707397,0,210.5306091,27.92245483,54.88275528,,20,226.2124634,0,42.01967621,,162.4871063,12.12627983
2021-10-04 08:50:00.000,2021-10-04 10:14:00.000,2021-10-04 15:37:00.000,275.7255249,0,224.141098,27.98032379,54.63305664,,20,227.7951355,0,42.91666412,,162.0783997,12.19587994
2021-10-04 08:54:00.000,2021-10-04 10:15:00.000,2021-10-04 15:41:00.000,274.2629089,0,225.5299683,28.06712914,54.45889282,,20,227.6746674,4.847528934,43.11920929,,161.5175018,12.27803993
2021-10-04 08:57:00.000,2021-10-04 10:16:00.000,2021-10-04 15:44:00.000,274.6462402,0,225.1931763,28.09606552,54.65390015,,20,226.6078186,0,43.92361069,,161.7904968,12.19528961
2021-10-04 09:00:00.000,2021-10-04 10:17:00.000,2021-10-04 15:48:00.000,275.3301392,0,226.6399078,28.06712914,54.86197662,,20.21939468,226.9162445,0,44.34606552,,161.8076019,12.13720989
2021-10-04 09:03:00.000,2021-10-04 10:18:00.000,2021-10-04 15:52:00.000,275.3952637,0,219.9126129,28.125,55.16976929,,20.53866005,227.5708466,0,43.98727036,,161.5955048,12.1849699
2021-10-04 09:06:00.000,2021-10-04 10:19:00.000,2021-10-04 15:56:00.000,276.491272,0,210.9143372,28.15393448,55.29255676,,20.7078495,227.0620422,0,44.38657379,,161.9992065,12.28223038
2021-10-04 09:09:00.000,2021-10-04 10:20:00.000,2021-10-04 15:59:00.000,274.4536133,0,209.9686737,28.18287086,55.20671844,,20.87561226,224.3239441,-8.075844765,44.13772964,,161.6994934,12.21755028
2021-10-04 09:12:00.000,2021-10-04 10:21:00.000,2021-10-04 16:03:00.000,275.5305176,0,210.2128754,28.21180534,54.93336868,,21.15034676,224.2782898,4.324015141,44.25347137,,161.7073059,12.24073982
2021-10-04 09:15:00.000,2021-10-04 10:22:00.000,2021-10-04 16:07:00.000,274.3387451,0,222.5528259,28.09606552,54.73148727,,21.12870216,220.3998718,0,45.16204071,,161.6316986,12.18422031
2021-10-04 09:19:00.000,2021-10-04 10:23:00.000,2021-10-04 16:11:00.000,275.1153259,0,226.6237183,28.24073982,54.82068253,,21.11198997,218.9963226,0,44.58911896,,161.7335052,12.12005043
2021-10-04 09:22:00.000,2021-10-04 10:24:00.000,2021-10-04 16:14:00.000,275.6073608,0,226.7208557,28.32754517,54.89007568,,21.31855583,216.5913544,0,44.46180344,,161.4046021,12.05566025
2021-10-04 09:25:00.000,2021-10-04 10:25:00.000,2021-10-04 16:18:00.000,274.9320068,0,226.175705,28.32754517,55.03496933,,21.39627838,211.5944977,0,45.08102036,,166.440506,-0.642234921
2021-10-04 09:28:00.000,2021-10-04 10:26:00.000,2021-10-04 16:22:00.000,0.462966561,0,7.675161839,28.15393448,55.58483887,,21.38465881,210.496994,0,44.6875,,160.1389008,-0.754763186
2021-10-04 09:31:00.000,2021-10-04 10:27:00.000,2021-10-04 19:51:00.000,0.462963045,0,0.611690164,28.24073982,57.49836731,,21.54676437,210.4690552,0,44.61805344,,157.0018005,12.99542999
2021-10-04 09:34:00.000,2021-10-04 10:28:00.000,2021-10-04 19:54:00.000,0.462963045,0,0.611690164,28.15393448,58.0071373,,21.50072289,209.9745483,0,44.87847137,,157.1186981,12.94353962
2021-10-04 09:37:00.000,2021-10-04 10:29:00.000,2021-10-04 19:58:00.000,0.462963045,0,0.611690164,28.125,57.25339508,,21.56553078,212.431015,0,44.61805344,,158.9725037,12.99376011
2021-10-04 09:40:00.000,2021-10-04 10:30:00.000,2021-10-04 20:02:00.000,0.462963045,0,0.611690164,28.24073982,56.34441376,,21.78978348,215.5820465,0,44.83217621,,160.4535065,-0.341571212
2021-10-04 11:20:00.000,2021-10-04 10:31:00.000,2021-10-04 20:06:00.000,0.462963045,18.29499435,0.611690164,28.99305534,58.46173096,,21.65023994,220.2628021,4.921906948,45.19675827,,155.1661072,-1.201182008
2021-10-04 11:23:00.000,2021-10-04 10:32:00.000,2021-10-04 20:09:00.000,0.462963045,17.90562248,0.611711979,29.02198982,58.67648697,,21.61299133,225.2696228,0,45.27199173,,152.1990967,-0.694108427
2021-10-04 11:26:00.000,2021-10-04 10:33:00.000,2021-10-04 20:13:00.000,0.462963045,17.47580528,0.611690164,28.96412086,58.0701561,,21.60259819,227.2058258,0,44.90161896,,157.7911987,-0.761195719
2021-10-04 11:29:00.000,2021-10-04 10:34:00.000,2021-10-04 20:17:00.000,0.462963045,17.33457565,0.611690164,28.73263931,57.23310089,,21.48970222,227.0944366,0,45.29513931,,155.9994049,-0.777002811
2021-10-04 11:32:00.000,2021-10-04 10:35:00.000,2021-10-04 20:21:00.000,0.462963045,17.14323997,0.611690164,28.73263931,55.04931259,,21.40080643,226.923584,0,45.43402863,,157.4288025,11.85783005
2021-10-04 11:35:00.000,2021-10-04 10:36:00.000,2021-10-04 20:25:00.000,0.462963045,16.97428322,294.7115784,28.84837914,52.69811249,,21.55456543,226.2723389,0,44.39236069,,163.3757935,12.38162994
2021-10-04 11:38:00.000,2021-10-04 10:37:00.000,2021-10-04 20:28:00.000,0.462963045,0,156.5894165,28.84837914,54.14421844,,21.48285866,226.212616,0,45.05208588,,162.9996948,12.35533047
2021-10-04 11:41:00.000,2021-10-04 10:38:00.000,2021-10-04 20:32:00.000,0.462963045,0,0.611692667,28.79051018,56.84926987,,21.44522858,226.1207123,0,45.34722137,,163.4006042,12.3108902
2021-10-04 11:45:00.000,2021-10-04 10:39:00.000,2021-10-04 20:36:00.000,0.462963045,0,0.611690164,29.16666603,57.67720795,,21.56869698,224.6534729,0,44.46180344,,163.5316925,12.10338974
2021-10-04 11:48:00.000,2021-10-04 10:40:00.000,2021-10-04 20:40:00.000,0.462963045,0,0.611690164,29.31134415,56.80298233,,21.6265583,226.9346008,0,44.90740967,,163.5993042,12.1110096
2021-10-04 11:51:00.000,2021-10-04 10:41:00.000,2021-10-04 20:43:00.000,0.462963045,0,0.611690164,29.31134415,56.24145508,,21.55175591,226.4022675,0,44.84375,,163.2111969,12.09741974
2021-10-04 11:54:00.000,2021-10-04 10:42:00.000,2021-10-04 20:47:00.000,0.462963045,0,0.611690164,29.13772964,55.8989563,,21.74705887,227.2463989,-9.85283947,44.62384033,,163.1994019,12.11647987
2021-10-04 11:57:00.000,2021-10-04 10:43:00.000,2021-10-04 20:51:00.000,295.3534546,0,305.8777771,29.02198982,53.56376266,,21.68615913,226.2212982,6.139753819,45.23147964,,162.5979004,12.13628006
2021-10-04 12:00:00.000,2021-10-04 10:44:00.000,2021-10-04 20:55:00.000,297.0462646,16,220.7641907,29.05092621,53.84406281,,21.53001976,225.2915955,0,45.24305344,,162.218399,12.21004009
2021-10-04 12:03:00.000,2021-10-04 10:45:00.000,2021-10-04 20:58:00.000,296.9877625,16,217.2709351,29.05092621,55.27689362,,21.44526291,226.7969208,0,45.2893486,,162.7001038,12.25131035
2021-10-04 12:07:00.000,2021-10-04 10:46:00.000,2021-10-04 21:02:00.000,297.68396,16,206.5183411,28.96412086,55.9869194,,21.41144943,226.0291748,0,45.75231552,,162.9006042,12.12127018
2021-10-04 12:10:00.000,2021-10-04 10:47:00.000,2021-10-04 21:06:00.000,296.5557251,16,205.7807312,28.96412086,56.033638,,21.15842056,218.8824158,0,45.73495483,,162.6981964,12.10762978
2021-10-04 12:13:00.000,2021-10-04 10:48:00.000,2021-10-04 21:10:00.000,296.8835144,16,207.0016479,28.96412086,56.03170776,,21.19227791,214.0508881,0,45.31829071,,161.8101044,12.36190987
2021-10-04 12:16:00.000,2021-10-04 10:49:00.000,2021-10-04 21:13:00.000,297.7045898,16,206.4824066,29.10879517,55.88529205,,21.17557335,211.4018097,4.595070839,45.00579071,,161.9037018,12.33419991
2021-10-04 12:19:00.000,2021-10-04 10:50:00.000,2021-10-04 21:17:00.000,296.8449097,16,206.6530151,29.28240585,55.7214241,,20.94386482,209.2193604,0,45.39930344,,162.4356995,12.14126968
2021-10-04 12:22:00.000,2021-10-04 10:51:00.000,2021-10-04 21:21:00.000,296.4670715,16,206.0790405,28.96412086,55.51163864,,20.89705086,209.5449677,0,45.49768448,,162.4010925,12.21306992
2021-10-04 12:25:00.000,2021-10-04 10:52:00.000,2021-10-04 21:25:00.000,296.8336487,16,206.2926331,29.28240585,55.28583145,,20.88367844,210.8143616,0,45.10416412,,162.7761993,12.14151001
2021-10-04 12:28:00.000,2021-10-04 10:53:00.000,2021-10-04 21:28:00.000,297.5905762,16,206.6443481,29.07986069,55.16581345,,20.65096664,211.9693146,3.428442001,45.48032379,,162.5993042,12.12691975
2021-10-04 12:32:00.000,2021-10-04 10:54:00.000,2021-10-04 21:32:00.000,296.6820068,16,206.9128418,29.31134415,54.99489975,,20.61177826,210.477829,0,45.20254517,,162.3007965,12.12508965
2021-10-04 12:35:00.000,2021-10-04 10:55:00.000,2021-10-04 21:36:00.000,296.3787842,16,209.6125336,29.25347137,54.91228867,,20.57447052,214.3204041,0,45.21411896,,162.7097931,12.35027027
2021-10-04 12:38:00.000,2021-10-04 10:56:00.000,2021-10-04 21:40:00.000,296.791626,16,218.3825531,29.36921501,54.84185028,,20.39519501,217.3407288,0,45.93170929,,162.7207031,12.18719959
2021-10-04 12:41:00.000,2021-10-04 10:57:00.000,2021-10-04 21:43:00.000,296.975647,16,222.9282227,29.42708397,54.91380692,,20.29839134,222.4753418,0,45.10995483,,162.3401947,12.19851971
2021-10-04 12:44:00.000,2021-10-04 10:58:00.000,2021-10-04 21:47:00.000,296.9462891,16,219.1052704,29.22453499,55.12768936,,20.28339767,227.455719,0,45.07522964,,161.9120026,12.11497974
2021-10-04 12:47:00.000,2021-10-04 10:59:00.000,2021-10-04 21:51:00.000,296.4735107,16,213.0026703,29.10879517,55.38677597,,20.19560814,226.8942413,4.306871891,45.43981552,,163.1054993,12.08944988
2021-10-04 12:50:00.000,2021-10-04 11:00:00.000,2021-10-04 21:55:00.000,297.3995056,16,214.1082306,29.07986069,55.39250183,,20.20723343,227.2970428,5.97866106,44.83217621,,162.6069946,12.11546993
2021-10-04 12:53:00.000,2021-10-04 11:01:00.000,2021-10-04 21:58:00.000,296.9006653,16,214.1923676,29.25347137,55.42589188,,20.19121361,226.2971954,0,44.78588104,,162.5290985,12.18982029
2021-10-04 12:57:00.000,2021-10-04 11:02:00.000,2021-10-04 22:02:00.000,296.8448486,16,212.0881653,29.13772964,55.22631073,,19.91428185,226.345047,0,45.57870483,,169.7994995,9.279549599
2021-10-04 13:00:00.000,2021-10-04 11:03:00.000,2021-10-04 22:06:00.000,296.0961609,16,211.3152161,29.34027863,55.10385132,,19.89867592,225.8996429,0,45.40509033,,164.0323029,-0.623855114
2021-10-04 13:03:00.000,2021-10-04 11:04:00.000,2021-10-04 22:10:00.000,297.7309875,16,212.2536163,29.45602036,55.13010025,,20.00473404,227.8108063,-3.765094042,45.19675827,,158.8616028,-1.193686962
2021-10-04 13:06:00.000,2021-10-04 11:05:00.000,2021-10-04 22:13:00.000,296.2597656,16,213.9813995,29.45602036,55.29285812,,19.9154377,226.8656769,3.156269073,45.23727036,,155.6197968,-1.194658995
2021-10-04 13:09:00.000,2021-10-04 11:06:00.000,2021-10-05 12:51:00.000,296.8619385,16,212.9976044,29.54282379,55.40666199,,19.70529556,218.9460907,0,45.32986069,,159,13.13860989
2021-10-04 13:12:00.000,2021-10-04 11:07:00.000,2021-10-05 12:55:00.000,297.2094727,16,213.5757446,29.45602036,55.4352951,,19.59101677,209.0539398,0,45.50925827,,158.7789001,13.03744984
2021-10-04 13:15:00.000,2021-10-04 11:08:00.000,2021-10-05 12:59:00.000,296.5840149,16,213.4740601,29.36921501,55.46674347,,19.61250305,209.7754974,0,45.27199173,,163.1499939,-1.047850013
2021-10-04 13:18:00.000,2021-10-04 11:09:00.000,2021-10-05 13:02:00.000,297.1863403,16,211.6786041,29.45602036,55.3868866,,19.36255836,209.1652985,5.104266167,45.67129517,,158.3683929,-1.044456959
2021-10-04 13:22:00.000,2021-10-04 11:10:00.000,2021-10-05 13:06:00.000,296.7294922,0,213.0030975,29.39814949,55.38486099,,19.30171013,209.5829773,8.946507454,45.09259033,,156.1522064,-1.183079004
2021-10-04 13:25:00.000,2021-10-04 11:11:00.000,2021-10-05 13:10:00.000,330.1853943,0,212.7465515,29.48495483,55.58732986,,19.36883926,210.4207306,8.850144386,44.86111069,,157.4078979,-0.749580324
2021-10-04 13:28:00.000,2021-10-04 11:12:00.000,2021-10-05 13:14:00.000,330.0481873,0,212.8262634,29.48495483,55.38461685,,19.07320213,209.6896057,5.142018795,45.67708588,,159.5242004,-0.721558511
2021-10-04 13:31:00.000,2021-10-04 11:13:00.000,2021-10-05 13:17:00.000,329.866394,0,214.575592,29.62962914,55.31967545,,18.9597168,209.4263916,0,45.68865967,,162.8365021,-0.693582177
2021-10-04 13:34:00.000,2021-10-04 11:14:00.000,2021-10-05 13:21:00.000,0.462963045,0,0.873943329,29.65856552,56.18996811,,18.83278275,209.5937653,6.205843925,44.96527863,,163.1842041,12.0597496
2021-10-04 13:37:00.000,2021-10-04 11:15:00.000,2021-10-05 13:25:00.000,0.462963045,0,0.611690164,29.94791603,58.07313919,,18.81291771,209.9205322,6.654662132,45.53240967,,164.3585052,12.06809044
2021-10-04 13:40:00.000,2021-10-04 11:16:00.000,2021-10-05 13:29:00.000,0.462963045,0,0.611690164,30.00578499,58.10054398,,18.55535889,92.96312714,0,45.81597137,,163.6920929,12.04881954
2021-10-04 13:43:00.000,2021-10-04 11:17:00.000,2021-10-05 13:32:00.000,0.462963045,0,0.611688375,30.00578499,57.52528,,18.4952774,0.647661686,0,45.08102036,,163.5993042,12.21856976
2021-10-04 13:35:00.000,2021-10-04 11:18:00.000,2021-10-05 13:36:00.000,0.462963045,0,0.611789107,29.80323982,56.85416412,,18.32287216,0.611701727,0,45.24884033,,163.3833008,12.06363964
2021-10-04 13:38:00.000,2021-10-04 11:19:00.000,2021-10-05 13:40:00.000,0.462963045,0,0.611690164,29.94791603,58.540905,,18.22566795,0.611690164,6.924399853,45.31829071,,163.5971985,12.17063046
2021-10-04 13:41:00.000,2021-10-04 11:20:00.000,2021-10-05 13:44:00.000,0.462963045,0,0.611690164,30.03472137,57.89162064,,18.29499435,0.611690164,9.901490211,45,,163.4862061,12.11291027
2021-10-04 13:44:00.000,2021-10-04 11:21:00.000,2021-10-05 13:47:00.000,0.462963045,0,0.611689329,30.00578499,57.2826767,,18.18044472,0.611690164,12.0108099,45.16782379,,163.5066071,12.21255016
2021-10-04 13:47:00.000,2021-10-04 11:22:00.000,2021-10-05 13:51:00.000,0.462963045,0,0.611689329,29.89004517,56.35411072,,17.97993279,0.678593636,12.17294979,45.58449173,,163.1020966,12.18887997
2021-10-04 13:50:00.000,2021-10-04 11:23:00.000,2021-10-05 13:55:00.000,0.462963045,0,248.1860199,29.97685051,53.80785751,,17.90562248,0.611711979,7.907264233,45.06944656,,163.0986938,12.12069988
2021-10-04 13:53:00.000,2021-10-04 11:24:00.000,2021-10-05 13:59:00.000,0.462963045,0,200.7633057,29.6875,53.07809448,,17.86600113,0.611690164,0,45.65393448,,162.6994019,12.11268997
2021-10-04 13:56:00.000,2021-10-04 11:25:00.000,2021-10-05 14:03:00.000,143.4177704,0,196.0682983,29.71643448,55.91546249,,17.65808678,0.611690164,0,45.68286896,,163.1905975,12.26708984
2021-10-04 14:00:00.000,2021-10-04 11:26:00.000,2021-10-05 14:06:00.000,330.007019,0,207.790802,29.62962914,56.70492554,,17.47580528,0.611690164,3.948124886,45.31829071,,163.1981964,12.11970997
2021-10-04 14:03:00.000,2021-10-04 11:27:00.000,2021-10-05 14:10:00.000,328.5335999,0,0.611703992,29.77430534,57.20215607,,17.6367054,0.611690164,3.126060963,44.82638931,,162.4006042,12.17189026
2021-10-04 14:06:00.000,2021-10-04 11:28:00.000,2021-10-05 14:14:00.000,330.1420898,0,207.3633881,29.80323982,56.09700012,,17.47894478,0.611690164,4.436047077,45.64236069,,162.5991974,12.20184994
2021-10-04 14:09:00.000,2021-10-04 11:29:00.000,2021-10-05 14:18:00.000,329.5953369,17,208.2283936,29.65856552,55.64238739,,17.33457565,0.611690164,5.930148125,45.29513931,,162.2926025,12.11077023
2021-10-04 14:12:00.000,2021-10-04 11:30:00.000,2021-10-05 14:21:00.000,329.9305725,17,208.1029053,29.62962914,55.80967331,,17.32234001,0.611690164,5.748262882,45.09838104,,162.5991974,12.14385033
2021-10-04 14:15:00.000,2021-10-04 11:31:00.000,2021-10-05 14:25:00.000,328.8430786,17,208.974411,29.74537086,55.94286728,,17.36141968,0.611690164,7.505885124,45.27199173,,162.4004059,12.07524967
2021-10-04 14:18:00.000,2021-10-04 11:32:00.000,2021-10-05 14:29:00.000,330.3845825,16.85889053,208.3772736,29.65856552,55.90516281,,17.14323997,0.611690164,8.837173462,45.65972137,,162.5124054,12.27507973
2021-10-04 14:21:00.000,2021-10-04 11:33:00.000,2021-10-05 14:33:00.000,329.7353516,16.74953461,208.5970612,29.65856552,55.8588295,,17.16078186,0.611690164,8.769788742,44.99420929,,162.7920074,12.19886017
2021-10-04 14:25:00.000,2021-10-04 11:34:00.000,2021-10-05 14:36:00.000,330.0574951,16.08681679,206.9878387,29.77430534,55.61536407,,17.11243439,331.3895264,9.148304939,45.32407379,,162.197403,12.22867966
2021-10-04 14:28:00.000,2021-10-04 11:35:00.000,2021-10-05 14:40:00.000,331.0724487,15.74911976,207.9454651,29.89004517,55.40826416,,16.97428322,294.7115784,20.09432983,45.58449173,,162.6855011,12.22342968
2021-10-04 14:31:00.000,2021-10-04 11:36:00.000,2021-10-05 14:44:00.000,329.614502,15.42543793,207.1843872,29.91897964,55.31880188,,0,231.2597809,19.98686981,45.1330986,,162.2980042,12.1693697
2021-10-04 14:34:00.000,2021-10-04 11:37:00.000,2021-10-05 14:48:00.000,330.2608643,15.06447887,207.4436646,29.97685051,55.27891159,,0,172.7601929,19.88125992,44.87847137,,162.5001984,12.21700954
2021-10-04 14:37:00.000,2021-10-04 11:38:00.000,2021-10-05 14:51:00.000,329.8352051,14.79498005,222.8961487,29.94791603,55.17927551,,0,156.5894165,19.95428085,44.44444656,,162.3856964,12.21107006
2021-10-04 14:40:00.000,2021-10-04 11:39:00.000,2021-10-05 14:55:00.000,331.3696594,14.62898159,224.4711914,29.91897964,55.15223694,,0,26.66345215,19.8387394,42.63888931,,162.3289032,12.14682007
2021-10-04 14:43:00.000,2021-10-04 11:40:00.000,2021-10-05 14:59:00.000,329.2494202,14.32112408,223.9288025,29.91897964,55.34251404,,0,0.620325923,19.74130058,41.29050827,,169.0821991,12.21306038
2021-10-04 14:46:00.000,2021-10-04 11:41:00.000,2021-10-05 15:03:00.000,330.3581848,14.20320225,223.8140564,29.94791603,55.5832634,,0,0.611692667,19.63890076,40.59027863,,165.1446075,-0.562201679
2021-10-04 14:50:00.000,2021-10-04 11:42:00.000,2021-10-07 07:57:00.000,330.0613708,13.97065926,222.1868896,29.86111069,55.72798157,,0,0.611690164,19.71454048,39.93634033,,155.5997925,-1.134542942
2021-10-04 14:53:00.000,2021-10-04 13:47:00.000,2021-10-07 08:01:00.000,330.1325378,13.95125389,223.8741913,29.91897964,55.92599869,,0,0.611689329,18.38010025,34.64699173,,160.6921997,-1.148815036
2021-10-04 14:56:00.000,2021-10-04 13:48:00.000,2021-10-07 08:05:00.000,329.7622986,13.72378349,222.7952576,29.94791603,55.90982437,,0,0.596289039,18.46109009,35.01736069,,156.1242065,-1.137452006
2021-10-04 14:59:00.000,2021-10-04 13:49:00.000,2021-10-07 08:09:00.000,329.568634,13.51748466,222.569519,29.91897964,55.83612442,,0,0.611683846,18.33419037,34.80324173,,156.054306,-0.737709999
2021-10-04 15:02:00.000,2021-10-04 13:50:00.000,2021-10-07 08:12:00.000,329.921814,13.55446815,219.7360077,30.00578499,55.84471893,,0,248.1860199,18.39986038,34.20717621,,159.8007965,-0.764317989
