timee,叶片B加料机出口温度[℃],叶片B线润叶回风温度,叶片B线润叶加水流量,空气温度校正变量,B线加料入口蒸汽阀门开度,风选出口水分仪水分实际值,B线加水瞬时流量(流量计),增温湿蒸汽流量,燃烧炉出口工艺气温度实际值,叶片B线TBL注入蒸汽流量实际值,B线润叶前温度仪实际值
2021-07-02 14:42:00.000,37.93981934,59.78404999,0.462963015,0,0,12.95781994,0,0.1143663,159.4008026,0.585379124,29.94791985
2021-07-02 14:43:00.000,37.6794014,59.23374176,0.462963015,0,0,13.0506897,0,0.514648378,159.4949951,0.560721576,30.15047073
2021-07-02 14:44:00.000,37.82986069,58.73143005,0.462963015,0,0,12.89260006,0,0,159.6994019,298.3432007,30.26619911
2021-07-02 14:45:00.000,37.45370102,58.56122971,0.462963015,0,0,12.95442009,0,0,159.2256927,287.9382019,30.23727036
2021-07-02 14:46:00.000,36.68402863,60.52811813,0.462963015,0,0,12.92278957,111.5645981,0,159.7987061,102.6789017,30.20833015
2021-07-02 14:47:00.000,36.37152863,63.8386116,0.462963015,0,0,12.7122097,96.67701721,0,159.5001984,0.6427176,30.23727036
2021-07-02 14:48:00.000,36.21527863,66.51016998,0.462963015,0,0,12.89885044,22.64966011,0,160.0090027,0.582663476,30.20833015
2021-07-02 14:49:00.000,35.50925827,68.13052368,0.462963015,38,0,10.36363029,21.89673996,0.171549499,165.8954926,0.56685859,30.09259033
2021-07-02 14:50:00.000,35.07522964,67.57331848,270.5905151,38,0,12.5283699,21.86514091,0.1143663,166.1459045,194.3240967,30.20833015
2021-07-02 14:51:00.000,35.52661896,64.32485962,279.8666077,38,19,-0.027847489,21.04163933,0,164.4082947,194.3173981,30.23727036
2021-07-02 14:52:00.000,35.06943893,62.20172882,280.5241089,41,19,-0.666661322,18.44138908,0.285915792,162.4934998,193.4528961,30.03471947
2021-07-02 14:53:00.000,36.81713104,61.07748032,280.6677856,41,19,-1.337959051,14.52542019,0,161.178299,214.7400055,30.15047073
2021-07-02 14:54:00.000,39.63542175,60.48986053,280.1614075,41,19,-1.41623199,5.171350956,0.171549499,159.6490936,211.1667938,30.15047073
2021-07-02 14:55:00.000,41.84606934,60.26416016,282.6040039,41,18.98258018,-1.400653005,0,0.228732601,158.4568939,213.1884003,30.26619911
2021-07-02 14:56:00.000,42.92824173,60.13658905,280.6603088,41,19,-1.400349975,0,0,156.9958038,213.7108002,29.71643066
2021-07-02 14:57:00.000,42.82986069,60.10095978,280.2672119,41,19,-1.402197003,0,0,155.8896942,212.6660004,29.94791985
2021-07-02 14:58:00.000,43.67477036,60.09672928,280.6531067,41,18.95812988,-1.391358018,0,0.914930582,155.7071991,216.1764984,29.6875
2021-07-02 14:59:00.000,44.29397964,60.10618973,280.2311096,41,18.97182083,-1.391059995,0,0,156.7919006,213.5487976,29.60069084
2021-07-02 15:00:00.000,43.62847137,60.24554062,280.8391113,41,19,-1.028069019,0,0,158.3549042,215.1609039,30.00577927
