timee,叶片B加料机出口温度[℃],叶片B线润叶回风温度,叶片B线润叶加水流量,空气温度校正变量,B线加料入口蒸汽阀门开度,风选出口水分仪水分实际值,B线加水瞬时流量(流量计),增温湿蒸汽流量,燃烧炉出口工艺气温度实际值,叶片B线TBL注入蒸汽流量实际值,B线润叶前温度仪实际值
2021-12-01 08:40:00.000,24.03356552,62.83536148,0.304865777,51,0,13.15711784,0,0.285915792,161.5279388,258.1111145,20.54398155
2021-12-01 08:41:00.000,23.5879631,64.08728027,0.308827728,51,0,13.01573658,0,0.514648438,160.4410706,258.0066833,20.48611069
2021-12-01 08:42:00.000,23.80208206,65.63889313,0.303512901,51,0,13.0992527,0,0.62901473,162.0632782,258.9869385,20.83333206
2021-12-01 08:43:00.000,24.00462914,67.16249084,0.300597876,0,0,12.90633774,0,0,161.5248718,3.336750507,20.86226845
2021-12-01 08:44:00.000,23.51272964,67.73041534,0.336384803,0,0,13.04532623,0,0,161.1442566,0.612722039,21.03587914
2021-12-01 08:45:00.000,23.80208206,67.46427155,0.319546461,0,0,12.99660301,0,0,161.5862274,0.611690164,21.18055534
2021-12-01 08:46:00.000,23.61689758,67.28172302,0.346840471,0,0,12.87761593,0,0,161.8117523,0.611690164,21.26736069
2021-12-01 08:47:00.000,24.01620483,66.65789032,0.321974158,0,0,12.84480381,0,0.400282115,161.1092224,0.611854076,21.20948982
2021-12-01 08:48:00.000,23.69791794,65.99938965,0.321145773,0,0,12.90837479,0,0.743381083,161.0009308,0.611690164,21.12268448
2021-12-01 08:49:00.000,24.08564758,65.34653473,0.319328308,0,0,12.91016293,0,0.114366323,161.0998077,0.611690164,21.20948982
2021-12-01 08:50:00.000,23.79051018,64.69911957,0.329497814,0,0,12.80939293,0,0,160.98172,0.611690164,21.12268448
2021-12-01 08:51:00.000,23.72685242,64.1285553,0.316829354,0,0,12.96790791,0,0,160.5678253,0.611690164,21.15162086
2021-12-01 08:52:00.000,24.12037086,63.59038162,0.331307411,0,0,13.01763725,0,0,161.1894226,0.611690164,21.12268448
2021-12-01 08:53:00.000,24.19560242,61.55704498,0.319476813,0,0,12.93855,0,0.171549484,160.9988403,0.611690164,20.45717621
2021-12-01 08:54:00.000,25.09259224,59.75160599,0.306370944,0,0,12.92764282,0,0,160.6841888,0.611690164,20.83333206
2021-12-01 08:55:00.000,24.73379517,58.54742432,0.32427749,0,0,12.89662838,0,0,161.1219788,0.611690164,20.83333206
2021-12-01 08:56:00.000,25.76388931,57.53932571,0.334841102,0,0,12.83034897,0,0.857747436,160.4072723,0.611690164,20.83333206
2021-12-01 08:57:00.000,25.96643448,56.66270065,0.334114224,0,0,12.93996334,0,0.057183161,160.4620667,0.611690164,20.86226845
2021-12-01 08:58:00.000,25.83333206,55.85006714,131.0251923,45.25810623,0,12.880373,107.0376968,0,160.8970795,239.695755,20.83333206
2021-12-01 08:59:00.000,25.50926018,55.04494858,250.1109314,45.18166733,0,12.65141201,97.396492,0.114366323,160.8165283,260.5105591,20.83333206
2021-12-01 09:00:00.000,24.5370369,54.52521133,251.3905792,46,0,12.80846405,29.59431076,0.171549484,160.0052338,273.4818115,20.60185242
2021-12-01 09:01:00.000,24.57754517,54.43877029,253.0095062,46,0,12.93519878,0,0,160.2844696,271.2597961,20.83333206
2021-12-01 09:02:00.000,23.97569466,54.71606064,253.3594208,46,0,13.00683308,99.49445343,0.343098968,160.5993347,270.8829956,20.45717621
2021-12-01 09:03:00.000,23.8946743,55.0042305,252.6811523,45.89935303,0,12.92417526,96.59876251,0.114366323,160.3005219,273.4830933,20.57291794
