timee,叶片B加料机出口温度[℃],叶片B线润叶回风温度,叶片B线润叶加水流量,空气温度校正变量,B线加料入口蒸汽阀门开度,风选出口水分仪水分实际值,B线加水瞬时流量(流量计),增温湿蒸汽流量,燃烧炉出口工艺气温度实际值,叶片B线TBL注入蒸汽流量实际值,B线润叶前温度仪实际值
2021-02-01 07:07:00.000,18.46643639,17.1529274,0,0,0,0,NULL,0.343098968,0,1.042581081,15.85648251
2021-02-01 07:08:00.000,18.55323982,17.05699921,0.000168597,65,0,0,0,0.285915792,0,584.8204346,15.74073982
2021-02-01 07:09:00.000,18.32176018,17.3915863,2.58E-10,65,0,0,0,0.514648438,0,561.121582,15.79861069
2021-02-01 07:10:00.000,18.10185242,30.49818802,3.96E-16,65,0,0,0,0,0,549.9819336,15.79861069
2021-02-01 07:11:00.000,18.26967621,73.26299286,6.07E-22,0,0,0,0,0.171549484,0,85.21870422,15.79861069
2021-02-01 07:12:00.000,18.11342621,64.84675598,0.034361653,0,0,0,0,0.343098968,0,0.864658833,15.79861069
2021-02-01 07:13:00.000,18.55323982,54.16331863,0.053612683,0,0,0,0,0,0,0.836740375,15.85648251
2021-02-01 07:14:00.000,18.4375,49.54661179,0.000193045,0,0,0,0,0,0,351.4784851,15.68286991
2021-02-01 07:15:00.000,18.84259224,47.58901215,3.7E-10,0,0,0,0,0.571831584,0,272.1275635,15.68286991
2021-02-01 07:16:00.000,18.33333397,47.28116608,5.67E-16,0,0,0,0,0.171549484,0,223.5492401,15.71180534
2021-02-01 07:17:00.000,18.11342621,47.73350143,0.00010654,0,0,0,0,0.343098968,0,170.9744263,15.71180534
2021-02-01 07:18:00.000,18.61111069,48.4682045,1.31E-10,0,0,0,0,0.171549484,0,153.1310883,15.71180534
2021-02-01 07:19:00.000,18.10185242,49.25037003,2.2E-06,0,0,0,0,0.114366323,0,146.4863892,15.65393543
2021-02-01 07:20:00.000,18.05555534,49.93769455,3.37E-12,0,0,0,0,0.285915792,0,139.7543945,15.71180534
2021-02-01 07:21:00.000,18.56481361,50.66047668,5.16E-18,0,0,0,0,0,0,136.3615112,15.71180534
2021-02-01 07:22:00.000,18.21180534,51.30052948,0,0,0,0,0,0.228732646,0,132.4166412,15.71180534
2021-02-01 07:23:00.000,18.61111069,51.92144012,0,0,0,0,0,0.686197937,0,129.855835,15.71180534
2021-02-01 07:24:00.000,18.15972137,52.47599411,0,0,0,0,0,0.114366323,0,1.163467407,15.71180534
2021-02-01 07:25:00.000,18.20023155,53.16426849,0,0,0,0,0,0.057183161,0,0.82715714,15.71180534
2021-02-01 07:26:00.000,18.39698982,53.77286911,0,0,0,0,0,0,0,0.748478651,15.68286991
2021-02-01 07:27:00.000,18.10185242,54.47688675,0,0,0,0,0,0.343098968,0,0.885335028,15.71180534
2021-02-01 07:28:00.000,18.28125,55.15014267,0,0,0,0,0,0.114366323,0,0.756064773,15.88541698
2021-02-01 07:29:00.000,18.77893639,55.74067688,0,0,0,0,0,0.571831584,0,0.776584268,15.88541698
2021-02-01 07:30:00.000,19.17245483,56.13734818,0,0,0,0,0,0.228732646,0,0.825124085,15.85648251
2021-02-01 07:31:00.000,20.4629631,56.38090515,0,0,0,0,0,0.285915792,0,0.96630168,15.88541698
2021-02-01 07:32:00.000,21.50462914,56.47769547,0,0,0,0,0,0.171549484,0,0.77854526,15.88541698
2021-02-01 07:33:00.000,23.7557869,56.44503784,4.48E-05,0,0,0,0,0.743381083,0,0.913130939,15.88541698
2021-02-01 07:34:00.000,24.81481552,56.2513504,6.86E-11,0,0,0,0,0.457465291,0,0.9155972,15.88541698
2021-02-01 07:35:00.000,25.21990776,56.04190445,0.000814453,0,0,0,0,0.343098968,0,0.906938136,15.91435242
2021-02-01 07:36:00.000,26.92708206,55.70792389,1.37E-07,0,0,0,0,0,0,0.863643646,15.85648251
2021-02-01 07:37:00.000,27.40740776,55.30393219,1.68E-13,0,0,0,0,0.285915792,0,0.793850422,15.88541698
2021-02-01 07:38:00.000,28.53009224,54.8747139,0.009526256,0,0,0,0,0.228732646,0,0.769180775,15.88541698
2021-02-01 07:39:00.000,28.79629517,54.38358688,0.004884991,0,0,0,0,0,0,0.676353693,15.85648251
2021-02-01 07:40:00.000,28.9120369,53.80838013,0.000211339,0,0,0,0,0.114366323,0,166.4672241,15.88541698
2021-02-01 07:41:00.000,29.62384224,53.28853226,0.001779872,0,0,0,0,0.285915792,0,314.5405273,15.85648251
2021-02-01 07:42:00.000,29.61227036,53.73032379,0.032051563,0,0,0,0,0.514648438,0,222.7719879,15.88541698
2021-02-01 07:43:00.000,30.71759224,55.03253937,0.024213919,0,0,0,0,0,0,158.92453,16.00115776
2021-02-01 07:44:00.000,30.41087914,56.51910019,0.058912084,0,0,0,0,0.285915792,0,0.844364524,15.9432869
2021-02-01 07:45:00.000,30.72916794,57.72273636,0.045351986,0,0,0,0,0.457465291,0,0.693366766,15.33564758
2021-02-01 07:46:00.000,31.64930534,58.50527954,0.059601434,0,0,0,0,0.400282115,0,0.74806428,15.3067131
2021-02-01 07:47:00.000,31.62615776,58.85732651,0.093206584,0,0,0,0,0.171549484,0,0.802232087,15.36458302
2021-02-01 07:48:00.000,32.67361069,58.74940109,0.086167268,0,0,0,0,0.228732646,0,0.808709085,15.36458302
2021-02-01 07:49:00.000,33.20602036,58.45606995,0.111852273,0,0,0,0,0.057183161,0,0.670440435,15.36458302
2021-02-01 07:50:00.000,33.28125,58.1314621,0.113943972,0,0,0,0,0,0,0.632739544,15.36458302
2021-02-01 07:51:00.000,33.73263931,57.6836319,0.115526736,0,0,0,0,0.343098968,0,0.652654171,15.36458302
2021-02-01 07:52:00.000,33.66319275,57.18213272,0.091444433,0,0,0,0,0,0,0.651793957,15.36458302
2021-02-01 07:53:00.000,34.57754517,56.73911285,0.115704857,0,0,0,0,0,0,0.639175773,15.36458302
2021-02-01 07:54:00.000,34.34027863,56.23503113,0.115740724,0,0,0,0,0.057183161,0,0.615633607,15.39351749
2021-02-01 07:55:00.000,34.64120483,55.69342422,0.115740724,0,0,0,0,0.686197937,0,0.622876167,15.39351749
2021-02-01 07:56:00.000,35.17939758,55.07027054,0.115740724,0,0,0,0,0.343098968,0,0.619502664,15.39351749
2021-02-01 07:57:00.000,34.94791794,54.4183197,0.115740724,0,0,0,0,0.228732646,0,0.618983865,15.42245293
2021-02-01 07:58:00.000,35.08102036,53.7899704,0.115740724,0,0,0,0,0.171549484,0,235.1417084,15.48032475
2021-02-01 07:59:00.000,34.38657379,53.28686142,0.115740724,0,0,0,0,0.228732646,0,310.736908,15.50926018
2021-02-01 08:00:00.000,33.99305725,53.90496826,0.115740724,56,0,0,0,0.114366323,0,253.9011078,15.27777767
2021-02-01 08:01:00.000,34.40393448,55.56512451,97.27940369,47.16458893,0,0,0,0,0,303.925415,15.07523251
2021-02-01 08:02:00.000,34.16666794,57.2195816,113.7878723,43.32579041,0,0,0,0.400282115,0,242.0448914,14.87268543
2021-02-01 08:03:00.000,33.69212723,57.33776855,115.2512741,34.73314285,0,0,0,0.057183161,0,182.7156982,15.3067131
2021-02-01 08:04:00.000,34.08564758,56.9211235,115.6081848,30,0,0,0,0,0,162.8644562,15.36458302
2021-02-01 08:05:00.000,33.85416794,56.2432518,115.0355606,46,0,0,0,0.171549484,0,159.8609619,15.27777767
2021-02-01 08:06:00.000,34.42708206,55.36100769,115.3886261,46.00644302,0,0,0,0,0,260.1283264,15.01736069
2021-02-01 08:07:00.000,33.90625,54.75404358,115.6180649,46.7181778,0,0,0,0,0,266.1763611,14.78588009
2021-02-01 08:08:00.000,33.93518448,54.60497665,115.6234894,47.76109314,0,0,0,0.914930582,0,279.2487183,15.36458302
2021-02-01 08:09:00.000,34.33449173,54.71535492,115.6773148,48,0,-0.77901274,0,0.686197937,0,283.7377625,14.64120293
2021-02-01 08:10:00.000,33.88888931,54.8575325,115.0751266,48,0,-0.868438184,0,0,0,284.9689636,14.64120293
2021-02-01 08:11:00.000,34.10879517,55.0750885,115.5074997,47.80786896,0,-0.868438184,0,0.171549484,0,285.2381592,15.21990776
2021-02-01 08:12:00.000,33.5995369,55.18141937,115.1292267,47.34430695,0,-0.868438184,0,0,0,278.6815186,14.75694466
2021-02-01 08:13:00.000,33.35069275,55.23687363,115.7737732,46.72421646,0,-0.868438184,0,0,0,269.7129517,14.40972233
2021-02-01 08:14:00.000,32.9629631,55.10276413,115.5258255,46.46642303,0,-0.868438184,0,0.285915792,0,268.4831238,14.69907475
2021-02-01 08:15:00.000,32.5057869,55.06745529,116.1327896,46.34550858,0,-0.868438184,0,0.171549484,0,267.1394958,14.46759224
2021-02-01 08:16:00.000,32.76620483,55.06713867,115.8237228,46.16492081,0,-0.868438184,0,0.400282115,0,264.7710266,14.75694466
2021-02-01 08:17:00.000,32.6620369,54.98406219,114.4246597,46.17387772,0,-0.868438184,0,0,0,261.6724243,14.58333302
2021-02-01 08:18:00.000,31.92129517,54.92014313,116.1036148,46.36457825,0,-0.868438184,0,0,0,263.9448853,14.78588009
2021-02-01 08:19:00.000,32.54629517,54.7396698,115.5285263,46.96829987,0,-0.868438184,0,0.171549484,0,271.0288391,15.48032475
2021-02-01 08:20:00.000,31.92129517,54.4991684,115.6983032,48,0,-0.868438184,0,0.400282115,0,282.4161072,15.13310242
2021-02-01 08:21:00.000,31.97337914,54.32020569,116.4132996,48,0,-0.868438184,0,0.114366323,0,288.9921265,15.76967525
2021-02-01 08:22:00.000,31.74189758,54.15342331,115.4118729,48,0,-0.868438184,0,0.057183161,19.07991982,284.9717712,14.64120293
2021-02-01 08:23:00.000,31.75926018,54.13883209,116.1788788,48,0,-0.868438184,0,0.457465291,18.89993095,286.2412109,15.50926018
2021-02-01 08:24:00.000,31.7245369,54.21082687,115.5129089,48,0,-0.868438184,0,0.228732646,18.85262489,284.1997375,14.69907475
2021-02-01 08:25:00.000,31.34837914,54.22494888,115.5889969,48,0,-0.868438184,0,0.171549484,19.0995369,285.4636536,15.71180534
2021-02-01 08:26:00.000,31.63194466,54.16682434,115.5446014,48.86981201,0,-0.868438184,0,1.029296875,19.1650219,290.6403503,14.72801018
2021-02-01 08:27:00.000,31.62615776,54.22961426,115.4160843,49,0,-0.868438184,0,0,19.1930294,298.1693726,15.01736069
2021-02-01 08:28:00.000,31.04745483,54.37743759,115.4163132,49,0,-0.868438184,0,0.62901473,18.91421318,298.065033,15.04629707
2021-02-01 08:29:00.000,31.17477036,54.5225563,115.1436996,49,0,-0.868438184,0,0.343098968,19.09984589,298.3934326,14.98842525
2021-02-01 08:30:00.000,31.07638931,54.58908081,115.2286377,49,0,-0.868438184,0,0,18.80005074,295.9942932,15.68286991
2021-02-01 08:31:00.000,31.82870483,54.65177536,115.1263123,49,0,-0.86818707,0,0.057183161,18.70040512,298.173645,14.93055534
2021-02-01 08:32:00.000,32.6504631,54.74360657,116.5382614,49,0,-0.839041829,0,0,19.10009956,296.8902588,15.74073982
2021-02-01 08:33:00.000,32.20486069,54.8600769,115.3449783,49,0,-0.836408257,0,0.686197937,18.79337311,298.9368896,15.39351749
2021-02-01 08:34:00.000,32.0254631,54.97508621,115.6960144,49,0,-0.831612408,0,0,18.91805077,293.8747559,15.3067131
2021-02-01 08:35:00.000,32.59837723,54.99951935,115.0033264,49,0,-0.831605792,0,0.171549484,18.79659843,296.12677,15.36458302
2021-02-01 08:36:00.000,32.45949173,55.04059219,115.7951965,49,0,-0.832015634,0,0,18.70516968,297.2854004,15.48032475
2021-02-01 08:37:00.000,33.17129517,55.14331818,115.5257339,48.53378677,0,-0.831736207,0,0.285915792,18.80550575,293.5183105,15.39351749
2021-02-01 08:38:00.000,32.74305725,55.20444489,115.131752,48.02976608,0,-0.831521869,0,0.343098968,18.95339394,286.715332,15.19097233
2021-02-01 08:39:00.000,33.31018448,55.31983185,115.7483749,48,0,-0.831521869,0,0,18.952034,284.844696,15.79861069
2021-02-01 08:40:00.000,33.35069275,55.37546921,115.9484482,48,0,-0.831997633,0,0.400282115,18.70040703,285.0680237,16.00115776
2021-02-01 08:41:00.000,33.35069275,55.25647354,115.6770782,48,0,-0.832965612,0,0,19.0000248,283.4697876,15.74073982
2021-02-01 08:42:00.000,33.96990967,55.03288651,115.5713882,48.03036499,0,-0.831521869,0,0.057183161,18.80003357,284.2826233,15.48032475
2021-02-01 08:43:00.000,33.50694275,54.91951752,115.9418869,48.29971695,0,-0.831521869,0,0,18.85547066,286.6208801,15.82754707
2021-02-01 08:44:00.000,33.94675827,55.02188873,116.2300644,48.28310394,0,-0.835483432,0,0.171549484,18.71888161,288.3260803,15.85648251
2021-02-01 08:45:00.000,34.40972137,55.12506866,115.518364,48,0,-0.848498702,0,0.800564229,19.07184792,284.2249146,15.42245293
2021-02-01 08:46:00.000,34.12615967,55.13126373,114.9684601,48,0,-0.842867255,0,0,18.85893822,284.8052063,15.42245293
2021-02-01 08:47:00.000,34.75694275,55.06021118,115.6797104,48.00209045,0,-0.836508393,0,0,18.89988518,283.9096069,16.34837914
2021-02-01 08:48:00.000,33.65740967,55.04021835,115.546936,48,0,-0.829826117,0,0.057183161,18.70469666,283.9046326,15.625
2021-02-01 08:49:00.000,34.76852036,55.00291061,115.0338974,48.02106857,0,-0.846716344,0,0.400282115,18.815979,286.3251953,16.05902672
2021-02-01 08:50:00.000,34.72800827,54.86199188,115.0314484,48.35165787,0,-0.834500551,0,0,18.71207428,285.2875061,15.625
2021-02-01 08:51:00.000,33.96412277,54.69244385,115.9943848,49,0,-0.836931646,0,0,19.08905602,296.6208496,15.48032475
2021-02-01 08:52:00.000,35.20254517,54.6513176,115.2431107,49,0,-0.841519952,0,0.228732646,18.88369942,295.6478271,15.48032475
2021-02-01 08:53:00.000,34.74537277,54.79193115,115.9906464,49,0,-0.84413296,0,0.343098968,18.98516273,297.6615906,16.0879631
2021-02-01 08:54:00.000,35.24305725,55.01311111,115.7229767,49,0,-0.830484033,0,0,18.73454666,298.3285217,15.24884224
2021-02-01 08:55:00.000,35.53819275,55.16772461,115.4440842,48.51589584,0,-0.826969266,0,0,18.69997597,292.2828369,15.56713009
2021-02-01 08:56:00.000,35.42824173,55.31641769,115.5402603,48,0,-0.847999513,0,0.171549484,18.69997597,284.4544373,15.56713009
2021-02-01 08:57:00.000,36.31944275,55.38163757,115.1240158,48,0,-0.838362575,0,0,18.79734039,283.8192444,15.85648251
2021-02-01 08:58:00.000,36.26157379,55.37224197,115.4872589,48,0,-0.819052041,0,0.114366323,18.80005074,282.6469116,16.31944466
2021-02-01 08:59:00.000,36.29050827,55.27667999,115.3033905,48,0,-0.82673949,0,0,18.89398956,284.2860718,15.48032475
2021-02-01 09:00:00.000,37.05439758,55.24734497,115.6291275,48,0,-0.837041676,0,0.171549484,19.00000191,284.0793152,15.91435242
2021-02-01 09:01:00.000,36.58564758,55.15380478,115.7242889,48,0,-0.835261106,0,0.057183161,18.98070717,286.0297546,15.48032475
2021-02-01 09:02:00.000,37.22800827,54.98381424,115.7464218,48.08255768,0,-0.82747221,0,0.343098968,19.07134247,283.0780029,15.39351749
