timee,叶片B加料机出口温度[℃],叶片B线润叶回风温度,叶片B线润叶加水流量,空气温度校正变量,B线加料入口蒸汽阀门开度,风选出口水分仪水分实际值,B线加水瞬时流量(流量计),增温湿蒸汽流量,燃烧炉出口工艺气温度实际值,叶片B线TBL注入蒸汽流量实际值,B线润叶前温度仪实际值
2021-04-14 18:28:00.000,41.93286896,55.32944107,269.7196045,47,0,-0.649996221,0,0.571831584,159.5996094,263.5914001,23.81365967
2021-04-14 18:29:00.000,41.14004898,55.27030182,269.3442078,47,0,-0.649996221,0,0.972113729,158.7321167,262.8713989,23.40856934
2021-04-14 18:30:00.000,40.51504898,55.24401093,269.3027954,47,0,-0.649345875,0,0,158.0292206,259.2008972,23.03240967
2021-04-14 18:31:00.000,40.08679962,55.22694016,268.9544067,47,0,-0.649988234,0,0.171549499,157.1301117,263.8005066,22.74305916
2021-04-14 18:32:00.000,40.72338104,55.22063828,269.622406,47,0,-0.649988234,0,0,156.1470337,265.7956848,22.65625
2021-04-14 18:33:00.000,41.52199173,55.21718979,268.9992065,47,0,-0.649988234,0,0.057183161,154.900589,263.0711975,23.26388931
2021-04-14 18:34:00.000,40.99536896,55.23886871,269.7005005,47,0,-0.625105739,0,0,155.6863861,261.6498108,22.77198982
2021-04-14 18:35:00.000,42.0544014,55.24126053,269.1288147,47,0,0.065616347,0,0.400282115,157.0373383,263.4083862,23.87153053
2021-04-14 18:36:00.000,41.55093002,55.22510147,269.9938965,47,0,-0.649149716,0,0.228732601,158.3621216,266.282196,23.20602036
2021-04-14 18:37:00.000,42.45370102,55.26922989,268.9429016,47,0,-0.630602002,0,0.057183161,158.961731,264.6239929,23.87153053
2021-04-14 18:38:00.000,42.55208969,55.24842072,269.1008911,47,0,-0.623305261,0,0,159.3623657,263.9397888,23.11920929
2021-04-14 18:39:00.000,42.19906998,55.19496918,269.6448975,47,0,-0.628955305,0,0,158.6720581,264.6984863,23.37962914
2021-04-14 18:40:00.000,43.26388931,55.18162918,269.6991882,47,0,-0.647355497,0,0,157.8009796,265.7427063,23.98727036
2021-04-14 18:41:00.000,42.71990967,55.2795105,1.097587943,47,0,-0.648860872,0,0,156.9824982,262.5625916,23.98727036
2021-04-14 18:42:00.000,43.25231934,55.98122025,0.347223401,47,0,-0.648643672,0,0,155.949234,185.9933014,24.04513931
2021-04-14 18:43:00.000,42.52893066,57.34928894,0.347222298,47,0,-0.624899209,0,0,155.0996246,187.0809937,24.01619911
2021-04-14 18:44:00.000,42.61574173,58.55018997,0.347222298,47,0,-0.624414086,0,0.228732601,155.7783966,186.4253998,23.98727036
2021-04-14 18:45:00.000,43.24074173,59.40378952,0.347222298,47,0,-0.639102876,0,0.171549499,156.918396,184.706604,24.01619911
2021-04-14 18:46:00.000,42.19906998,60.7666893,0.347222298,0,0,-0.650589228,0,0.228732601,158.1990662,0.763486087,24.04513931
2021-04-14 18:47:00.000,42.96875,60.97441101,0.347222298,0,0,-0.66254276,0,0,159.425827,0.611211419,24.04513931
2021-04-14 18:48:00.000,42.70254898,60.84965897,0.347222298,0,0,-0.664598703,0,0,161.9767456,0.572515488,24.01619911
2021-04-14 18:49:00.000,41.97916031,60.65826035,0.347222298,0,0,9.844503403,0,0,158.3925781,0.541108429,24.04513931
2021-04-14 18:50:00.000,43.08449173,60.35383987,0.347222298,0,0,12.11929989,0,0.343098998,162.7894287,0.507506311,24.04513931
2021-04-14 18:51:00.000,42.76620102,60.07242966,0.347222298,0,0,11.6863699,0,0.228732601,164.9273987,0.610742211,24.04513931
2021-04-14 18:52:00.000,43.03240967,59.7591095,0.347222298,0,0,12.04321766,0,0.629014671,162.5168304,0.611525118,24.04513931
2021-04-14 18:53:00.000,42.92824173,59.34043121,0.347222298,0,0,12.17956924,0,0,164.5549469,311.2131958,24.04513931
2021-04-14 18:54:00.000,42.92824173,57.59669876,0.347222298,0,0,11.96329498,0,0.1143663,164.7917938,305.5181885,24.27662086
2021-04-14 18:55:00.000,43.15972137,57.3411293,43.98846817,70,0,12.04399586,0,0,164.3893433,538.9890137,24.04513931
2021-04-14 18:56:00.000,42.77199173,59.38768005,246.9729004,70,0,11.98846149,99.50154877,0.343098998,165.0031891,569.9285889,24.04513931
2021-04-14 18:57:00.000,42.52893066,61.10049057,251.4360046,55,0,11.85804749,87.11850739,0.514648378,164.9013214,545.6995239,24.04513931
2021-04-14 18:58:00.000,40.74652863,62.54481125,251.7153931,40,0,12.07597923,22.02039909,0.171549499,164.7746429,275.3039856,24.04513931
2021-04-14 18:59:00.000,40.08102036,63.30783844,251.6421051,57,0,11.91231537,21.73244095,0.686197877,164.8424988,385.2131042,24.07406998
2021-04-14 19:00:00.000,39.0393486,63.16038895,252.2489014,57,0,11.89193535,21.69392014,0.686197877,164.9751434,401.8389893,23.81365967
2021-04-14 19:01:00.000,37.65045929,63.26290894,252.0186005,70,0,12.02666759,21.28795052,0.686197877,164.8007202,572.4611206,23.92939949
2021-04-14 19:02:00.000,37.14120102,64.61009216,251.4252014,57,0,12.02413273,21.04870987,0,164.7001495,391.6928101,23.32176018
2021-04-14 19:03:00.000,36.40625,65.88490295,252.6174011,53,0,12.08744526,20.97370911,0,164.9001617,361.8140869,23.4375
2021-04-14 19:04:00.000,35.71181107,66.32190704,252.079895,53,0,11.84880924,21.22242928,0,165.0229645,329.4240112,23.35069084
2021-04-14 19:05:00.000,35.26620102,66.25344086,251.8829041,53,0,11.86070824,21.10251045,0.343098998,164.7680206,324.6169128,23.32176018
2021-04-14 19:06:00.000,34.05093002,65.95667267,251.7160034,53,0,12.06381512,21.05319977,0.514648378,164.4013214,326.6348877,23.66897964
2021-04-14 19:07:00.000,34.16088104,65.45353699,252.8191071,53,0,11.9454298,20.70801926,0.686197877,165.2715759,327.5830994,23.00346947
2021-04-14 19:08:00.000,34.05670929,64.9695282,251.6147003,53.15678024,0,11.9190588,20.90880966,0,164.5009308,331.5333862,23.32176018
2021-04-14 19:09:00.000,33.32754898,64.6020813,252.3092957,54.13452148,0,11.9911108,20.99354935,0.400282115,164.7090302,347.0736084,23.37962914
2021-04-14 19:10:00.000,33.33911896,64.34353638,251.9076996,60,0,12.05878258,20.89558983,0.400282115,164.1998901,446.848114,23.29281998
2021-04-14 19:11:00.000,33.01504898,64.34187317,252.122406,60,0,12.08960247,20.73819923,0,164.7844391,450.8995972,23.35069084
2021-04-14 19:12:00.000,33.22917175,64.77226257,252.4716034,60,15,11.96817875,21.29981041,0,164.6968536,447.9143066,22.94560051
