timee,叶片B加料机出口温度[℃],叶片B线润叶回风温度,叶片B线润叶加水流量,空气温度校正变量,B线加料入口蒸汽阀门开度,风选出口水分仪水分实际值,B线加水瞬时流量(流量计),增温湿蒸汽流量,燃烧炉出口工艺气温度实际值,叶片B线TBL注入蒸汽流量实际值,B线润叶前温度仪实际值
2021-10-04 13:41:00.000,35.67708206,57.89162064,0.462963045,0,0,-1.011698008,18.77742958,0.514648438,159.8043976,0.611690164,30.03472137
2021-10-04 13:42:00.000,35.0057869,57.71506882,0.462963045,0,0,-1.013082027,18.69544029,0.457465291,158.7174988,0.608144641,30.00578499
2021-10-04 13:43:00.000,35.32986069,57.52528,0.462963045,0,0,-1.013077021,18.5675602,0,158.012207,0.611688375,30.00578499
2021-10-04 13:44:00.000,35.27777863,57.2826767,0.462963045,0,0,-1.013020039,18.55203056,0.343098968,158.9004974,0.611689329,30.00578499
2021-10-04 13:45:00.000,34.64699173,57.0186615,0.462963045,0,0,-1.011116982,18.54826927,0,160.2498016,0.611689329,30.00578499
2021-10-04 13:46:00.000,34.5370369,56.75280762,0.462963045,0,0,-0.863108218,18.53253937,0.285915792,161.3491974,0.611689329,30.00578499
2021-10-04 13:47:00.000,34.64699173,56.35411072,0.462963045,0,0,-0.857737005,18.38010025,0.343098968,161.0001984,0.611689329,29.89004517
2021-10-04 13:48:00.000,35.01736069,55.3755188,0.462963045,0,0,-0.862289906,18.46109009,0,159.9017029,0.596289039,30.00578499
2021-10-04 13:49:00.000,34.80324173,54.54598618,0.462963045,0,0,-0.858902574,18.33419037,0,158.9006958,0.611683846,30.09259415
2021-10-04 13:50:00.000,34.20717621,53.80785751,0.462963045,0,0,-0.795720279,18.39986038,0,157.9373932,248.1860199,29.97685051
2021-10-04 13:51:00.000,34.5254631,53.15688705,0.462963045,0,0,-0.804427683,18.25968933,0.057183161,157.0357971,322.581604,29.80323982
2021-10-04 13:52:00.000,34.18981552,52.78279877,0.462963045,0,0,-0.799427688,18.35485077,0,156.1992035,280.7347107,29.77430534
2021-10-04 13:53:00.000,33.28125,53.07809448,0.462963045,0,0,-0.790562689,18.22797012,0,157.0865021,200.7633057,29.6875
2021-10-04 13:54:00.000,33.00925827,53.89048004,0.462963045,0,0,-0.809800327,18.01281929,0,158.3883972,160.9938202,29.86111069
2021-10-04 13:55:00.000,33.68055725,54.89566803,0.462963045,0,0,-0.814646482,18.26428986,0.343098968,159.7597961,152.5806274,30.03472137
2021-10-04 13:56:00.000,33.08449173,55.91546249,143.4177704,41,0,-0.818359017,18.23867989,0.343098968,160.6972961,196.0682983,29.71643448
2021-10-04 13:57:00.000,32.98611069,56.44486237,326.1564636,41,0,-0.808709025,18.34815979,0.343098968,161.2881927,214.4007416,29.94791603
2021-10-04 13:58:00.000,32.87615967,56.57133865,329.4981689,41,0,-0.834094405,18.1816597,0.114366323,160.903595,215.3196106,29.80323982
2021-10-04 13:59:00.000,33.31018448,56.53347397,329.9506836,40,0,-0.83920598,18.30600929,0,160.0995941,207.9653931,29.74537086
2021-10-04 14:00:00.000,32.70254517,56.70492554,330.007019,40,0,-0.850043893,18.27712059,0,159.0997925,207.790802,29.62962914
2021-10-04 14:01:00.000,32.52893448,56.92444229,329.584137,10,0,-0.836819887,18.16893959,0,158.1992035,111.1693954,29.65856552
2021-10-04 14:02:00.000,32.66782379,57.10720444,329.209259,10,0,-0.815657914,18.20216942,0,157.1255035,0.649276972,29.6875
